batter,bowler,matchup_balls,matchup_runs,matchup_dismissals,matchup_sr,matchup_avg
A Ashish Reddy,A Nehra,8,7,1,87.5,7.0
A Ashish Reddy,AB Dinda,7,9,0,128.6,9.0
A Ashish Reddy,AD Mathews,12,25,0,208.3,25.0
A Ashish Reddy,AD Russell,3,4,1,,4.0
A Ashish Reddy,Anureet Singh,2,2,0,,2.0
A Ashish Reddy,Azhar Mahmood,3,2,0,,2.0
A Ashish Reddy,B Kumar,1,1,0,,1.0
A Ashish Reddy,BW Hilfenhaus,2,2,1,,2.0
A Ashish Reddy,CH Morris,5,11,0,,11.0
A Ashish Reddy,DJ Bravo,13,24,1,184.6,24.0
A Ashish Reddy,Harbhajan Singh,8,11,0,137.5,11.0
A Ashish Reddy,Imran Tahir,2,2,0,,2.0
A Ashish Reddy,J Botha,2,0,0,,0.0
A Ashish Reddy,JEC Franklin,3,3,0,,3.0
A Ashish Reddy,JP Duminy,1,1,0,,1.0
A Ashish Reddy,JP Faulkner,2,2,0,,2.0
A Ashish Reddy,KA Pollard,3,3,1,,3.0
A Ashish Reddy,KK Cooper,5,8,0,,8.0
A Ashish Reddy,M Kartik,8,6,0,75.0,6.0
A Ashish Reddy,M Morkel,5,5,1,,5.0
A Ashish Reddy,MG Johnson,3,7,0,,7.0
A Ashish Reddy,MM Patel,2,0,1,,0.0
A Ashish Reddy,MM Sharma,2,7,0,,7.0
A Ashish Reddy,MR Marsh,3,3,0,,3.0
A Ashish Reddy,MS Gony,4,5,0,,5.0
A Ashish Reddy,NM Coulter-Nile,1,0,1,,0.0
A Ashish Reddy,P Awana,2,0,1,,0.0
A Ashish Reddy,P Kumar,4,6,0,,6.0
A Ashish Reddy,PP Chawla,2,2,0,,2.0
A Ashish Reddy,PV Tambe,4,3,0,,3.0
A Ashish Reddy,Parvez Rasool,9,18,0,200.0,18.0
A Ashish Reddy,R Vinay Kumar,10,14,2,140.0,7.0
A Ashish Reddy,RJ Peterson,5,7,0,,7.0
A Ashish Reddy,RP Singh,2,1,1,,1.0
A Ashish Reddy,SL Malinga,4,3,0,,3.0
A Ashish Reddy,SMSM Senanayake,4,3,1,,3.0
A Ashish Reddy,SP Narine,1,1,0,,1.0
A Ashish Reddy,SR Watson,5,3,1,,3.0
A Ashish Reddy,STR Binny,4,4,1,,4.0
A Ashish Reddy,SW Tait,4,10,0,,10.0
A Ashish Reddy,Sandeep Sharma,3,13,0,,13.0
A Ashish Reddy,TG Southee,4,9,0,,9.0
A Ashish Reddy,UT Yadav,9,20,0,222.2,20.0
A Ashish Reddy,YS Chahal,7,13,0,185.7,13.0
A Badoni,A Zampa,3,2,1,,2.0
A Badoni,AD Russell,13,22,0,169.2,22.0
A Badoni,AR Patel,10,11,0,110.0,11.0
A Badoni,AS Joseph,4,5,0,,5.0
A Badoni,Akash Madhwal,4,0,1,,0.0
A Badoni,Arshdeep Singh,12,13,1,108.3,13.0
A Badoni,Ashwani Kumar,2,4,1,,4.0
A Badoni,Avesh Khan,2,2,0,,2.0
A Badoni,Azmatullah Omarzai,12,21,0,175.0,21.0
A Badoni,B Kumar,4,4,0,,4.0
A Badoni,C Bosch,6,6,0,100.0,6.0
A Badoni,C Sakariya,4,13,1,,13.0
A Badoni,CV Varun,16,18,0,112.5,18.0
A Badoni,DG Nalkande,1,2,0,,2.0
A Badoni,DJ Bravo,4,5,0,,5.0
A Badoni,DJ Willey,4,6,0,,6.0
A Badoni,DL Chahar,10,27,0,270.0,27.0
A Badoni,E Malinga,2,0,1,,0.0
A Badoni,G Coetzee,5,5,0,,5.0
A Badoni,GJ Maxwell,6,5,0,83.3,5.0
A Badoni,Gurnoor Brar,3,11,0,,11.0
A Badoni,HH Pandya,14,20,1,142.9,20.0
A Badoni,HV Patel,6,5,0,83.3,5.0
A Badoni,Harpreet Brar,3,2,0,,2.0
A Badoni,Harshit Rana,7,7,0,100.0,7.0
A Badoni,I Sharma,9,10,0,111.1,10.0
A Badoni,J Overton,5,13,0,,13.0
A Badoni,JD Unadkat,6,4,0,66.7,4.0
A Badoni,JJ Bumrah,5,3,0,,3.0
A Badoni,JO Holder,1,0,0,,0.0
A Badoni,JR Hazlewood,9,3,2,33.3,1.5
A Badoni,K Rabada,8,8,1,100.0,8.0
A Badoni,KK Ahmed,5,12,0,,12.0
A Badoni,KR Sen,2,2,0,,2.0
A Badoni,KV Sharma,12,28,0,233.3,28.0
A Badoni,Kuldeep Yadav,14,13,1,92.9,13.0
A Badoni,LH Ferguson,14,23,0,164.3,23.0
A Badoni,LS Livingstone,2,6,1,,6.0
A Badoni,M Jansen,13,16,0,123.1,16.0
A Badoni,M Pathirana,10,10,0,100.0,10.0
A Badoni,M Prasidh Krishna,5,2,0,,2.0
A Badoni,M Theekshana,18,35,0,194.4,35.0
A Badoni,MA Starc,6,7,0,116.7,7.0
A Badoni,MJ Santner,8,15,0,187.5,15.0
A Badoni,MM Ali,7,6,0,85.7,6.0
A Badoni,MM Sharma,12,23,1,191.7,23.0
A Badoni,MP Stoinis,7,4,0,57.1,4.0
A Badoni,Mohammed Shami,11,16,0,145.5,16.0
A Badoni,Mohammed Siraj,18,21,0,116.7,21.0
A Badoni,Mukesh Choudhary,3,7,0,,7.0
A Badoni,Mukesh Kumar,24,43,1,179.2,43.0
A Badoni,N Burger,1,0,1,,0.0
A Badoni,N Thushara,3,4,0,,4.0
A Badoni,Noor Ahmad,6,7,0,116.7,7.0
A Badoni,PJ Cummins,7,10,0,142.9,10.0
A Badoni,PP Chawla,4,2,0,,2.0
A Badoni,PVD Chameera,4,8,0,,8.0
A Badoni,PWH de Silva,13,14,0,107.7,14.0
A Badoni,R Ashwin,8,11,0,137.5,11.0
A Badoni,R Sai Kishore,4,11,1,,11.0
A Badoni,R Shepherd,14,29,1,207.1,29.0
A Badoni,RA Jadeja,10,9,1,90.0,9.0
A Badoni,RD Chahar,9,12,0,133.3,12.0
A Badoni,RJW Topley,2,0,0,,0.0
A Badoni,RP Meredith,4,9,1,,9.0
A Badoni,RS Hangargekar,3,5,0,,5.0
A Badoni,Rashid Khan,27,28,1,103.7,28.0
A Badoni,S Dube,2,7,0,,7.0
A Badoni,SH Johnson,2,5,0,,5.0
A Badoni,SM Curran,14,18,1,128.6,18.0
A Badoni,SN Thakur,3,10,0,,10.0
A Badoni,SP Narine,30,30,3,100.0,10.0
A Badoni,Sandeep Sharma,12,21,0,175.0,21.0
A Badoni,Shivam Mavi,1,1,0,,1.0
A Badoni,Simarjeet Singh,2,4,0,,4.0
A Badoni,Suyash Sharma,1,1,0,,1.0
A Badoni,T Natarajan,18,38,0,211.1,38.0
A Badoni,T Stubbs,3,2,1,,2.0
A Badoni,TA Boult,13,7,3,53.8,2.3
A Badoni,TG Southee,6,3,1,50.0,3.0
A Badoni,TU Deshpande,19,23,2,121.1,11.5
A Badoni,V Puthur,4,5,0,,5.0
A Badoni,V Viyaskanth,2,5,0,,5.0
A Badoni,VG Arora,2,2,0,,2.0
A Badoni,VR Aaron,3,2,1,,2.0
A Badoni,Vijaykumar Vyshak,13,38,0,292.3,38.0
A Badoni,WD Parnell,5,7,1,,7.0
A Badoni,WG Jacks,3,3,0,,3.0
A Badoni,Washington Sundar,7,9,0,128.6,9.0
A Badoni,YS Chahal,17,17,2,100.0,8.5
A Badoni,Yash Dayal,1,0,1,,0.0
A Chandila,R Rampaul,2,1,0,,1.0
A Chandila,R Vinay Kumar,2,1,0,,1.0
A Chandila,RP Singh,2,2,0,,2.0
A Chandila,V Pratap Singh,1,0,1,,0.0
A Chopra,DP Vijaykumar,5,1,0,,1.0
A Chopra,DW Steyn,4,1,1,,1.0
A Chopra,GD McGrath,4,2,0,,2.0
A Chopra,Harmeet Singh,7,4,0,57.1,4.0
A Chopra,JR Hopes,2,1,1,,1.0
A Chopra,PJ Sangwan,9,6,1,66.7,6.0
A Chopra,PP Chawla,1,1,0,,1.0
A Chopra,PP Ojha,6,3,1,50.0,3.0
A Chopra,RP Singh,5,9,0,,9.0
A Chopra,SB Bangar,4,9,0,,9.0
A Chopra,SB Styris,7,5,0,71.4,5.0
A Chopra,SM Pollock,4,1,0,,1.0
A Chopra,VY Mahesh,4,5,0,,5.0
A Chopra,WPUJC Vaas,2,1,0,,1.0
A Chopra,Y Venugopal Rao,6,3,1,50.0,3.0
A Chopra,Z Khan,1,1,0,,1.0
A Choudhary,AJ Tye,3,2,0,,2.0
A Choudhary,AR Patel,2,2,0,,2.0
A Choudhary,BCJ Cutting,2,6,1,,6.0
A Choudhary,Basil Thampi,4,8,0,,8.0
A Choudhary,JP Faulkner,5,5,0,,5.0
A Choudhary,MM Sharma,4,2,1,,2.0
A Dananjaya,Mohammed Shami,3,2,0,,2.0
A Dananjaya,TA Boult,2,2,0,,2.0
A Flintoff,A Nehra,4,3,1,,3.0
A Flintoff,DJ Bravo,6,13,0,216.7,13.0
A Flintoff,DL Vettori,6,4,0,66.7,4.0
A Flintoff,DP Nannes,1,0,0,,0.0
A Flintoff,DW Steyn,7,14,0,200.0,14.0
A Flintoff,Harbhajan Singh,5,2,1,,2.0
A Flintoff,KP Pietersen,4,6,0,,6.0
A Flintoff,MK Tiwary,3,3,0,,3.0
A Flintoff,P Kumar,2,2,0,,2.0
A Flintoff,PJ Sangwan,3,6,0,,6.0
A Flintoff,RR Raje,1,1,0,,1.0
A Flintoff,SL Malinga,3,0,0,,0.0
A Flintoff,ST Jayasuriya,4,7,0,,7.0
A Flintoff,Z Khan,4,1,0,,1.0
A Kamboj,AD Russell,1,4,0,,4.0
A Kamboj,Akash Madhwal,3,5,0,,5.0
A Kamboj,HV Patel,3,2,0,,2.0
A Kamboj,Harshit Rana,2,2,0,,2.0
A Kamboj,PJ Cummins,1,0,1,,0.0
A Kamboj,VG Arora,3,3,0,,3.0
A Kamboj,YS Chahal,1,0,1,,0.0
A Kumble,A Flintoff,2,1,0,,1.0
A Kumble,A Mishra,1,1,0,,1.0
A Kumble,AB McDonald,1,1,0,,1.0
A Kumble,CRD Fernando,2,1,0,,1.0
A Kumble,DJ Bravo,3,5,0,,5.0
A Kumble,Harbhajan Singh,2,1,0,,1.0
A Kumble,Harmeet Singh,2,1,0,,1.0
A Kumble,IK Pathan,6,6,0,100.0,6.0
A Kumble,JA Morkel,1,2,0,,2.0
A Kumble,M Muralitharan,3,0,0,,0.0
A Kumble,PP Chawla,4,1,0,,1.0
A Kumble,R McLaren,3,1,0,,1.0
A Kumble,RA Jadeja,3,2,0,,2.0
A Kumble,RJ Harris,2,1,0,,1.0
A Kumble,RP Singh,2,2,0,,2.0
A Kumble,SK Warne,3,5,0,,5.0
A Kumble,SL Malinga,1,1,0,,1.0
A Kumble,Sohail Tanvir,2,1,1,,1.0
A Kumble,VRV Singh,3,2,0,,2.0
A Kumble,YA Abdulla,1,0,1,,0.0
A Manohar,A Mishra,3,1,1,,1.0
A Manohar,A Nortje,2,2,0,,2.0
A Manohar,A Zampa,4,7,1,,7.0
A Manohar,AD Russell,1,0,1,,0.0
A Manohar,AR Patel,12,12,0,100.0,12.0
A Manohar,Avesh Khan,4,10,0,,10.0
A Manohar,B Kumar,11,16,1,145.5,16.0
A Manohar,C Green,3,13,0,,13.0
A Manohar,DS Rathi,2,1,0,,1.0
A Manohar,HH Pandya,7,13,0,185.7,13.0
A Manohar,I Sharma,3,2,0,,2.0
A Manohar,JDS Neesham,7,10,0,142.9,10.0
A Manohar,JJ Bumrah,12,16,0,133.3,16.0
A Manohar,JP Behrendorff,4,4,0,,4.0
A Manohar,K Kartikeya,3,1,1,,1.0
A Manohar,KH Pandya,2,2,0,,2.0
A Manohar,KK Ahmed,10,2,1,20.0,2.0
A Manohar,KR Sen,3,5,1,,5.0
A Manohar,Kuldeep Yadav,19,13,1,68.4,13.0
A Manohar,M Jansen,6,7,0,116.7,7.0
A Manohar,M Theekshana,6,3,1,50.0,3.0
A Manohar,MJ Santner,12,5,0,41.7,5.0
A Manohar,MM Sharma,1,1,0,,1.0
A Manohar,Mukesh Choudhary,6,9,0,150.0,9.0
A Manohar,Mukesh Kumar,3,2,0,,2.0
A Manohar,Mustafizur Rahman,2,1,1,,1.0
A Manohar,PP Chawla,10,19,0,190.0,19.0
A Manohar,PVD Chameera,3,5,0,,5.0
A Manohar,R Ashwin,8,7,0,87.5,7.0
A Manohar,R Parag,2,1,0,,1.0
A Manohar,R Shepherd,6,4,1,66.7,4.0
A Manohar,RP Meredith,4,7,1,,7.0
A Manohar,Ravi Bishnoi,2,1,0,,1.0
A Manohar,SN Thakur,2,0,1,,0.0
A Manohar,SP Narine,2,1,0,,1.0
A Manohar,Sandeep Sharma,2,2,0,,2.0
A Manohar,Shivam Mavi,2,2,0,,2.0
A Manohar,Suyash Sharma,1,0,1,,0.0
A Manohar,T Natarajan,4,11,0,,11.0
A Manohar,T Stubbs,3,4,1,,4.0
A Manohar,TA Boult,11,25,1,227.3,25.0
A Manohar,TG Southee,1,0,0,,0.0
A Manohar,TU Deshpande,1,0,1,,0.0
A Manohar,UT Yadav,5,13,0,,13.0
A Manohar,Umran Malik,6,9,1,150.0,9.0
A Manohar,YS Chahal,12,23,1,191.7,23.0
A Mhatre,Arshad Khan,6,28,0,466.7,28.0
A Mhatre,Arshdeep Singh,2,2,0,,2.0
A Mhatre,Ashwani Kumar,4,17,0,,17.0
A Mhatre,B Kumar,12,38,0,316.7,38.0
A Mhatre,DL Chahar,8,13,1,162.5,13.0
A Mhatre,HV Patel,1,1,0,,1.0
A Mhatre,JD Unadkat,5,9,0,,9.0
A Mhatre,KH Pandya,11,15,0,136.4,15.0
A Mhatre,KT Maphaka,5,10,0,,10.0
A Mhatre,L Ngidi,5,4,1,,4.0
A Mhatre,M Jansen,4,5,1,,5.0
A Mhatre,M Prasidh Krishna,4,0,1,,0.0
A Mhatre,MJ Santner,3,2,0,,2.0
A Mhatre,Mohammed Shami,8,10,0,125.0,10.0
A Mhatre,Mohammed Siraj,7,6,0,85.7,6.0
A Mhatre,PJ Cummins,5,10,1,,10.0
A Mhatre,R Shepherd,5,17,0,,17.0
A Mhatre,Suyash Sharma,8,12,0,150.0,12.0
A Mhatre,TU Deshpande,11,21,1,190.9,21.0
A Mhatre,VG Arora,2,0,1,,0.0
A Mhatre,Yash Dayal,7,8,0,114.3,8.0
A Mhatre,Yudhvir Singh,4,12,0,,12.0
A Mishra,A Nehra,2,3,1,,3.0
A Mishra,A Singh,2,2,0,,2.0
A Mishra,A Symonds,1,0,1,,0.0
A Mishra,AB Agarkar,4,3,0,,3.0
A Mishra,AB Dinda,14,18,1,128.6,18.0
A Mishra,AD Mathews,8,6,0,75.0,6.0
A Mishra,AG Murtaza,3,3,0,,3.0
A Mishra,AN Ahmed,4,3,1,,3.0
A Mishra,Azhar Mahmood,4,7,0,,7.0
A Mishra,B Lee,2,2,0,,2.0
A Mishra,BA Stokes,4,2,0,,2.0
A Mishra,BB Sran,2,1,0,,1.0
A Mishra,Basil Thampi,2,8,0,,8.0
A Mishra,CH Morris,5,3,0,,3.0
A Mishra,CRD Fernando,3,3,1,,3.0
A Mishra,D Wiese,1,1,0,,1.0
A Mishra,DE Bollinger,5,2,2,,1.0
A Mishra,DJ Bravo,9,9,0,100.0,9.0
A Mishra,DL Chahar,2,6,0,,6.0
A Mishra,DS Kulkarni,3,2,0,,2.0
A Mishra,GB Hogg,6,1,1,16.7,1.0
A Mishra,HH Pandya,3,4,0,,4.0
A Mishra,HV Patel,14,11,1,78.6,11.0
A Mishra,Harbhajan Singh,15,13,0,86.7,13.0
A Mishra,Harmeet Singh,1,0,1,,0.0
A Mishra,I Sharma,3,1,0,,1.0
A Mishra,IK Pathan,6,7,0,116.7,7.0
A Mishra,Imran Tahir,3,1,1,,1.0
A Mishra,Iqbal Abdulla,9,13,1,144.4,13.0
A Mishra,J Theron,4,3,0,,3.0
A Mishra,JA Morkel,2,1,0,,1.0
A Mishra,JD Unadkat,7,18,0,257.1,18.0
A Mishra,JH Kallis,7,7,0,100.0,7.0
A Mishra,JJ Bumrah,5,1,1,,1.0
A Mishra,JO Holder,10,11,0,110.0,11.0
A Mishra,JP Duminy,3,12,0,,12.0
A Mishra,JP Faulkner,3,0,2,,0.0
A Mishra,JR Hazlewood,1,1,0,,1.0
A Mishra,KA Pollard,10,4,1,40.0,4.0
A Mishra,KK Ahmed,2,1,1,,1.0
A Mishra,KK Cooper,6,3,0,50.0,3.0
A Mishra,KV Sharma,15,6,0,40.0,6.0
A Mishra,Kamran Khan,1,0,1,,0.0
A Mishra,L Ablish,3,3,0,,3.0
A Mishra,L Balaji,14,23,0,164.3,23.0
A Mishra,LR Shukla,1,0,1,,0.0
A Mishra,M Morkel,10,12,1,120.0,12.0
A Mishra,MA Starc,3,1,1,,1.0
A Mishra,MG Johnson,2,1,0,,1.0
A Mishra,MJ McClenaghan,1,0,0,,0.0
A Mishra,MK Lomror,1,1,0,,1.0
A Mishra,MM Patel,17,32,1,188.2,32.0
A Mishra,MM Sharma,1,0,0,,0.0
A Mishra,MR Marsh,7,8,1,114.3,8.0
A Mishra,Mohammed Siraj,3,5,0,,5.0
A Mishra,NLTC Perera,1,0,1,,0.0
A Mishra,P Awana,1,1,0,,1.0
A Mishra,P Negi,6,9,1,150.0,9.0
A Mishra,PC Valthaty,1,0,1,,0.0
A Mishra,PP Chawla,4,3,0,,3.0
A Mishra,PP Ojha,6,2,0,33.3,2.0
A Mishra,PWH de Silva,5,0,0,,0.0
A Mishra,R Ashwin,12,5,1,41.7,5.0
A Mishra,R Bhatia,1,1,0,,1.0
A Mishra,R Dhawan,1,1,0,,1.0
A Mishra,R Sharma,5,5,0,,5.0
A Mishra,R Vinay Kumar,2,1,0,,1.0
A Mishra,RA Jadeja,1,1,0,,1.0
A Mishra,RP Singh,3,2,0,,2.0
A Mishra,SC Ganguly,15,14,0,93.3,14.0
A Mishra,SK Trivedi,15,14,1,93.3,14.0
A Mishra,SK Warne,4,2,0,,2.0
A Mishra,SL Malinga,14,5,2,35.7,2.5
A Mishra,SP Narine,1,1,0,,1.0
A Mishra,SR Watson,12,7,0,58.3,7.0
A Mishra,ST Jayasuriya,1,1,0,,1.0
A Mishra,STR Binny,6,2,0,33.3,2.0
A Mishra,Sandeep Sharma,3,2,0,,2.0
A Mishra,TG Southee,2,1,0,,1.0
A Mishra,TS Mills,4,4,0,,4.0
A Mishra,UT Yadav,5,6,0,,6.0
A Mishra,VR Aaron,6,2,0,33.3,2.0
A Mishra,WPUJC Vaas,1,0,1,,0.0
A Mithun,A Mishra,1,0,1,,0.0
A Mithun,DJ Bravo,2,0,1,,0.0
A Mithun,DL Vettori,3,5,0,,5.0
A Mithun,M Morkel,2,0,1,,0.0
A Mithun,PC Valthaty,3,3,0,,3.0
A Mithun,PP Chawla,1,1,0,,1.0
A Mithun,R Ashwin,2,2,0,,2.0
A Mithun,RJ Harris,6,12,1,200.0,12.0
A Mithun,SK Raina,4,9,0,,9.0
A Mithun,SP Narine,2,2,1,,2.0
A Mukund,A Chandila,4,5,0,,5.0
A Mukund,JP Faulkner,6,3,0,50.0,3.0
A Mukund,S Sreesanth,1,1,0,,1.0
A Mukund,SK Trivedi,3,1,1,,1.0
A Mukund,SR Watson,7,9,0,128.6,9.0
A Mukund,Sohail Tanvir,1,0,1,,0.0
A Nehra,AD Mascarenhas,2,2,0,,2.0
A Nehra,AD Russell,3,1,0,,1.0
A Nehra,DJ Bravo,1,0,1,,0.0
A Nehra,GB Hogg,1,0,0,,0.0
A Nehra,Harmeet Singh,6,7,0,116.7,7.0
A Nehra,IK Pathan,9,1,1,11.1,1.0
A Nehra,J Theron,2,1,0,,1.0
A Nehra,Joginder Sharma,2,1,0,,1.0
A Nehra,KA Pollard,1,0,1,,0.0
A Nehra,MA Starc,2,0,1,,0.0
A Nehra,MG Johnson,2,1,0,,1.0
A Nehra,MR Marsh,3,5,0,,5.0
A Nehra,NLTC Perera,1,0,1,,0.0
A Nehra,NM Coulter-Nile,1,1,0,,1.0
A Nehra,P Awana,2,0,1,,0.0
A Nehra,R Sharma,3,7,0,,7.0
A Nehra,S Sreesanth,2,1,0,,1.0
A Nehra,SL Malinga,3,0,1,,0.0
A Nehra,SP Narine,1,0,1,,0.0
A Nehra,STR Binny,4,7,0,,7.0
A Nehra,SW Tait,4,2,0,,2.0
A Nehra,VRV Singh,2,1,0,,1.0
A Nehra,WPUJC Vaas,3,3,0,,3.0
A Nortje,AD Russell,2,0,1,,0.0
A Nortje,CJ Jordan,1,3,0,,3.0
A Nortje,HV Patel,4,7,0,,7.0
A Nortje,KK Ahmed,2,3,0,,3.0
A Nortje,M Pathirana,1,0,0,,0.0
A Nortje,M Theekshana,3,0,0,,0.0
A Nortje,MM Sharma,3,2,0,,2.0
A Nortje,Mohammed Shami,2,4,0,,4.0
A Nortje,Mohammed Siraj,3,6,0,,6.0
A Nortje,RP Meredith,3,5,1,,5.0
A Nortje,Rashid Khan,3,1,0,,1.0
A Nortje,SP Narine,2,1,0,,1.0
A Nortje,Sandeep Sharma,1,0,1,,0.0
A Nortje,Simarjeet Singh,3,1,0,,1.0
A Nortje,T Natarajan,7,3,2,42.9,1.5
A Nortje,VG Arora,2,3,0,,3.0
A Nortje,Vijaykumar Vyshak,1,1,0,,1.0
A Nortje,WD Parnell,6,9,0,150.0,9.0
A Raghuvanshi,A Nortje,7,16,1,228.6,16.0
A Raghuvanshi,AR Patel,12,16,0,133.3,16.0
A Raghuvanshi,Abhishek Sharma,2,2,0,,2.0
A Raghuvanshi,Akash Madhwal,1,1,0,,1.0
A Raghuvanshi,Arshdeep Singh,7,7,0,100.0,7.0
A Raghuvanshi,Ashwani Kumar,3,7,0,,7.0
A Raghuvanshi,Avesh Khan,5,6,1,,6.0
A Raghuvanshi,DL Chahar,5,14,0,,14.0
A Raghuvanshi,E Malinga,3,1,1,,1.0
A Raghuvanshi,GJ Maxwell,5,2,0,,2.0
A Raghuvanshi,HH Pandya,3,1,1,,1.0
A Raghuvanshi,HV Patel,5,9,0,,9.0
A Raghuvanshi,Harsh Dubey,6,4,0,66.7,4.0
A Raghuvanshi,I Sharma,3,7,0,,7.0
A Raghuvanshi,JC Archer,3,2,1,,2.0
A Raghuvanshi,JD Unadkat,3,4,0,,4.0
A Raghuvanshi,JJ Bumrah,2,1,0,,1.0
A Raghuvanshi,JR Hazlewood,4,8,0,,8.0
A Raghuvanshi,KH Pandya,12,12,0,100.0,12.0
A Raghuvanshi,KR Sen,3,1,1,,1.0
A Raghuvanshi,Kuldeep Yadav,7,5,0,71.4,5.0
A Raghuvanshi,LS Livingstone,5,4,0,,4.0
A Raghuvanshi,M Jansen,6,8,0,133.3,8.0
A Raghuvanshi,M Prasidh Krishna,2,5,0,,5.0
A Raghuvanshi,M Theekshana,11,18,0,163.6,18.0
A Raghuvanshi,MP Stoinis,1,1,0,,1.0
A Raghuvanshi,MR Marsh,4,4,0,,4.0
A Raghuvanshi,Mohammed Shami,3,6,0,,6.0
A Raghuvanshi,Mohammed Siraj,6,7,0,116.7,7.0
A Raghuvanshi,Mohsin Khan,4,6,1,,6.0
A Raghuvanshi,Mustafizur Rahman,8,10,0,125.0,10.0
A Raghuvanshi,N Rana,3,6,0,,6.0
A Raghuvanshi,N Thushara,4,12,1,,12.0
A Raghuvanshi,Naveen-ul-Haq,3,5,0,,5.0
A Raghuvanshi,Nithish Kumar Reddy,4,3,0,,3.0
A Raghuvanshi,Noor Ahmad,2,1,1,,1.0
A Raghuvanshi,PHKD Mendis,3,1,1,,1.0
A Raghuvanshi,PJ Cummins,6,5,0,83.3,5.0
A Raghuvanshi,PVD Chameera,4,5,1,,5.0
A Raghuvanshi,PWH de Silva,17,27,0,158.8,27.0
A Raghuvanshi,R Ashwin,3,3,0,,3.0
A Raghuvanshi,R Parag,11,15,0,136.4,15.0
A Raghuvanshi,RA Jadeja,1,0,1,,0.0
A Raghuvanshi,Rashid Khan,4,8,0,,8.0
A Raghuvanshi,Rasikh Salam,5,13,0,,13.0
A Raghuvanshi,Ravi Bishnoi,11,14,0,127.3,14.0
A Raghuvanshi,SN Thakur,4,6,0,,6.0
A Raghuvanshi,Sandeep Sharma,3,3,0,,3.0
A Raghuvanshi,Simarjeet Singh,5,13,0,,13.0
A Raghuvanshi,Sumit Kumar,8,16,0,200.0,16.0
A Raghuvanshi,Suyash Sharma,4,10,0,,10.0
A Raghuvanshi,TA Boult,9,17,0,188.9,17.0
A Raghuvanshi,TU Deshpande,4,2,0,,2.0
A Raghuvanshi,V Nigam,11,23,0,209.1,23.0
A Raghuvanshi,XC Bartlett,7,18,0,257.1,18.0
A Raghuvanshi,YS Chahal,10,14,1,140.0,14.0
A Raghuvanshi,Yash Dayal,5,4,2,,2.0
A Raghuvanshi,Yash Thakur,6,8,0,133.3,8.0
A Raghuvanshi,Yudhvir Singh,1,0,1,,0.0
A Raghuvanshi,Zeeshan Ansari,10,16,0,160.0,16.0
A Singh,A Mishra,1,0,1,,0.0
A Singh,AB Agarkar,2,1,0,,1.0
A Singh,DE Bollinger,1,1,0,,1.0
A Singh,KA Pollard,2,0,1,,0.0
A Singh,SK Raina,1,0,1,,0.0
A Singh,Shakib Al Hasan,2,0,1,,0.0
A Symonds,A Kumble,13,13,2,100.0,6.5
A Symonds,A Mishra,42,60,3,142.9,20.0
A Symonds,A Nehra,2,2,0,,2.0
A Symonds,AB Agarkar,19,27,2,142.1,13.5
A Symonds,AB Dinda,2,0,0,,0.0
A Symonds,AC Thomas,4,2,0,,2.0
A Symonds,AD Mathews,8,7,0,87.5,7.0
A Symonds,AL Menaria,1,1,0,,1.0
A Symonds,AP Dole,4,3,0,,3.0
A Symonds,Anand Rajan,2,1,0,,1.0
A Symonds,B Akhil,2,2,0,,2.0
A Symonds,B Lee,8,6,0,75.0,6.0
A Symonds,BA Bhatt,4,2,0,,2.0
A Symonds,BJ Hodge,2,1,0,,1.0
A Symonds,Bipul Sharma,8,14,0,175.0,14.0
A Symonds,CH Gayle,2,1,1,,1.0
A Symonds,CK Langeveldt,3,1,0,,1.0
A Symonds,D Salunkhe,2,7,0,,7.0
A Symonds,DE Bollinger,8,8,0,100.0,8.0
A Symonds,DJ Bravo,3,5,0,,5.0
A Symonds,DJ Hussey,9,19,0,211.1,19.0
A Symonds,DP Nannes,14,26,0,185.7,26.0
A Symonds,DT Christian,12,11,0,91.7,11.0
A Symonds,DW Steyn,23,36,1,156.5,36.0
A Symonds,GD McGrath,5,8,0,,8.0
A Symonds,I Sharma,15,13,1,86.7,13.0
A Symonds,IK Pathan,10,16,0,160.0,16.0
A Symonds,J Botha,3,1,1,,1.0
A Symonds,J Theron,2,1,1,,1.0
A Symonds,JA Morkel,18,24,1,133.3,24.0
A Symonds,JE Taylor,3,3,1,,3.0
A Symonds,JH Kallis,17,29,0,170.6,29.0
A Symonds,JM Kemp,5,1,0,,1.0
A Symonds,JR Hopes,1,1,0,,1.0
A Symonds,Joginder Sharma,2,7,0,,7.0
A Symonds,KA Pollard,5,5,0,,5.0
A Symonds,KP Appanna,5,8,0,,8.0
A Symonds,L Balaji,12,21,0,175.0,21.0
A Symonds,M Kartik,22,18,0,81.8,18.0
A Symonds,M Morkel,14,12,0,85.7,12.0
A Symonds,M Muralitharan,14,5,0,35.7,5.0
A Symonds,MB Parmar,9,16,0,177.8,16.0
A Symonds,MC Henriques,2,1,1,,1.0
A Symonds,MF Maharoof,2,1,1,,1.0
A Symonds,MM Patel,9,21,0,233.3,21.0
A Symonds,Mashrafe Mortaza,0,0,1,,0.0
A Symonds,Mohammad Asif,5,2,0,,2.0
A Symonds,Mohammad Hafeez,13,3,0,23.1,3.0
A Symonds,P Kumar,14,20,0,142.9,20.0
A Symonds,PD Collingwood,8,15,0,187.5,15.0
